home_team,away_team,home_score,away_score,Round,Year,result,home_rank,home_points,away_rank,away_points,home_win_rate,home_avg_goals,home_avg_conceded,away_win_rate,away_avg_goals,away_avg_conceded
Tunisia,Mexico,3,1,First round,1978,2,46.0,1476.405088,14.0,1687.481759,0.1666666666666666,0.7777777777777778,1.4444444444444444,0.2833333333333333,1.0333333333333334,1.6833333333333331
Argentina,Hungary,2,1,First round,1978,2,1.0,1876.118331,41.0,1504.135797,0.5340909090909091,1.7272727272727273,1.1477272727272727,0.46875,2.71875,1.78125
Brazil,Poland,0,1,Third-place match,1974,0,6.0,1765.856297,36.0,1526.183359,0.6666666666666666,2.0789473684210527,0.9473684210526316,0.4473684210526316,1.2894736842105263,1.3157894736842106
Netherlands,Brazil,2,0,Second round,1974,2,8.0,1751.097835,6.0,1765.856297,0.5454545454545454,1.7454545454545454,0.9454545454545454,0.6666666666666666,2.0789473684210527,0.9473684210526316
Argentina,Brazil,1,2,Second round,1974,0,1.0,1876.118331,6.0,1765.856297,0.5340909090909091,1.7272727272727273,1.1477272727272727,0.6666666666666666,2.0789473684210527,0.9473684210526316
Sweden,Poland,0,1,Second round,1974,0,38.0,1509.785392,36.0,1526.183359,0.3725490196078431,1.568627450980392,1.431372549019608,0.4473684210526316,1.2894736842105263,1.3157894736842106
Netherlands,Argentina,4,0,Second round,1974,2,8.0,1751.097835,1.0,1876.118331,0.5454545454545454,1.7454545454545454,0.9454545454545454,0.5340909090909091,1.7272727272727273,1.1477272727272727
Bulgaria,Netherlands,1,4,First round,1974,0,87.0,1271.683325,8.0,1751.097835,0.1153846153846153,0.8461538461538461,2.0384615384615383,0.5454545454545454,1.7454545454545454,0.9454545454545454
Poland,Italy,2,1,First round,1974,2,36.0,1526.183359,12.0,1704.733836,0.4473684210526316,1.2894736842105263,1.3157894736842106,0.5421686746987951,1.5421686746987953,0.927710843373494
Sweden,Uruguay,3,0,First round,1974,2,38.0,1509.785392,16.0,1673.068603,0.3725490196078431,1.568627450980392,1.431372549019608,0.423728813559322,1.5084745762711864,1.2881355932203389
Argentina,Haiti,4,1,First round,1974,2,1.0,1876.118331,83.0,1293.096585,0.5340909090909091,1.7272727272727273,1.1477272727272727,0.0,0.6666666666666666,4.666666666666667
Australia,Chile,0,0,First round,1974,1,27.0,1579.34264,55.0,1452.939983,0.2,0.85,1.85,0.3333333333333333,1.2121212121212122,1.4848484848484849
