home_team,away_team,home_score,away_score,Round,Year,result,home_rank,home_points,away_rank,away_points
Germany,Sweden,2,1,Group stage,2018,2,10.0,1735.771984,38.0,1509.785392
Brazil,Costa Rica,2,0,Group stage,2018,2,6.0,1765.856297,52.0,1457.00228
Nigeria,Iceland,2,0,Group stage,2018,2,26.0,1586.688586,74.0,1343.920201
Serbia,Switzerland,1,2,Group stage,2018,0,43.0,1502.133186,19.0,1650.064179
Denmark,Australia,1,1,Group stage,2018,1,21.0,1619.474248,27.0,1579.34264
France,Peru,1,0,Group stage,2018,2,3.0,1869.428449,51.0,1459.390555
Argentina,Croatia,0,3,Group stage,2018,0,1.0,1876.118331,11.0,1714.865572
Portugal,Morocco,1,0,Group stage,2018,2,5.0,1766.177547,7.0,1755.100232
Uruguay,Saudi Arabia,1,0,Group stage,2018,2,16.0,1673.068603,61.0,1421.538339
IR Iran,Spain,0,1,Group stage,2018,0,20.0,1619.58163,2.0,1873.013187
Colombia,Japan,1,2,Group stage,2018,0,13.0,1698.351858,18.0,1661.576187
Poland,Senegal,1,2,Group stage,2018,0,36.0,1526.183359,15.0,1686.412769
Russia,Egypt,3,1,Group stage,2018,2,35.0,1527.237131,29.0,1562.367246
Sweden,Korea Republic,1,0,Group stage,2018,2,38.0,1509.785392,25.0,1591.630886
Belgium,Panama,3,0,Group stage,2018,2,9.0,1742.235945,34.0,1539.155509
Tunisia,England,1,2,Group stage,2018,0,46.0,1476.405088,4.0,1827.048678
Costa Rica,Serbia,0,1,Group stage,2018,0,52.0,1457.00228,43.0,1502.133186
Germany,Mexico,0,1,Group stage,2018,0,10.0,1735.771984,14.0,1687.481759
Brazil,Switzerland,1,1,Group stage,2018,1,6.0,1765.856297,19.0,1650.064179
France,Australia,2,1,Group stage,2018,2,3.0,1869.428449,27.0,1579.34264
Argentina,Iceland,1,1,Group stage,2018,1,1.0,1876.118331,74.0,1343.920201
Peru,Denmark,0,1,Group stage,2018,0,51.0,1459.390555,21.0,1619.474248
Croatia,Nigeria,2,0,Group stage,2018,2,11.0,1714.865572,26.0,1586.688586
Egypt,Uruguay,0,1,Group stage,2018,0,29.0,1562.367246,16.0,1673.068603
Morocco,IR Iran,0,1,Group stage,2018,0,7.0,1755.100232,20.0,1619.58163
Portugal,Spain,3,3,Group stage,2018,1,5.0,1766.177547,2.0,1873.013187
Russia,Saudi Arabia,5,0,Group stage,2018,2,35.0,1527.237131,61.0,1421.538339
Germany,Argentina,1,0,Final,2014,2,10.0,1735.771984,1.0,1876.118331
Brazil,Netherlands,0,3,Third-place match,2014,0,6.0,1765.856297,8.0,1751.097835
Netherlands,Argentina,0,0,Semi-finals,2014,1,8.0,1751.097835,1.0,1876.118331
Brazil,Germany,1,7,Semi-finals,2014,0,6.0,1765.856297,10.0,1735.771984
Argentina,Belgium,1,0,Quarter-finals,2014,2,1.0,1876.118331,9.0,1742.235945
Netherlands,Costa Rica,0,0,Quarter-finals,2014,1,8.0,1751.097835,52.0,1457.00228
France,Germany,0,1,Quarter-finals,2014,0,3.0,1869.428449,10.0,1735.771984
Brazil,Colombia,2,1,Quarter-finals,2014,2,6.0,1765.856297,13.0,1698.351858
Argentina,Switzerland,1,0,Round of 16,2014,2,1.0,1876.118331,19.0,1650.064179
France,Nigeria,2,0,Round of 16,2014,2,3.0,1869.428449,26.0,1586.688586
