home_team,away_team,home_score,away_score,Round,Year,result,home_rank,home_points,away_rank,away_points
Scotland,Brazil,0,0,First round,1974,1,42.0,1503.34027,6.0,1765.856297
Uruguay,Netherlands,0,2,First round,1974,0,16.0,1673.068603,8.0,1751.097835
Sweden,Bulgaria,0,0,First round,1974,1,38.0,1509.785392,87.0,1271.683325
Italy,Haiti,3,1,First round,1974,2,12.0,1704.733836,83.0,1293.096585
Poland,Argentina,3,2,First round,1974,2,36.0,1526.183359,1.0,1876.118331
Brazil,Italy,4,1,Final,1970,2,6.0,1765.856297,12.0,1704.733836
Brazil,Uruguay,3,1,Semi-finals,1970,2,6.0,1765.856297,16.0,1673.068603
Brazil,Peru,4,2,Quarter-finals,1970,2,6.0,1765.856297,51.0,1459.390555
Italy,Mexico,4,1,Quarter-finals,1970,2,12.0,1704.733836,14.0,1687.481759
Mexico,Belgium,1,0,Group stage,1970,2,14.0,1687.481759,9.0,1742.235945
Italy,Israel,0,0,Group stage,1970,1,12.0,1704.733836,76.0,1333.904007
Bulgaria,Morocco,1,1,Group stage,1970,1,87.0,1271.683325,7.0,1755.100232
Brazil,Romania,3,2,Group stage,1970,2,6.0,1765.856297,53.0,1455.894657
Sweden,Uruguay,1,0,Group stage,1970,2,38.0,1509.785392,16.0,1673.068603
Mexico,El Salvador,4,0,Group stage,1970,2,14.0,1687.481759,101.0,1225.344607
Brazil,England,1,0,Group stage,1970,2,6.0,1765.856297,4.0,1827.048678
Sweden,Israel,1,1,Group stage,1970,1,38.0,1509.785392,76.0,1333.904007
Uruguay,Italy,0,0,Group stage,1970,1,16.0,1673.068603,12.0,1704.733836
Peru,Morocco,3,0,Group stage,1970,2,51.0,1459.390555,7.0,1755.100232
Belgium,El Salvador,3,0,Group stage,1970,2,9.0,1742.235945,101.0,1225.344607
Italy,Sweden,1,0,Group stage,1970,2,12.0,1704.733836,38.0,1509.785392
England,Romania,1,0,Group stage,1970,2,4.0,1827.048678,53.0,1455.894657
Peru,Bulgaria,3,2,Group stage,1970,2,51.0,1459.390555,87.0,1271.683325
Uruguay,Israel,2,0,Group stage,1970,2,16.0,1673.068603,76.0,1333.904007
England,Portugal,2,1,Semi-finals,1966,2,4.0,1827.048678,5.0,1766.177547
Portugal,Korea DPR,5,3,Quarter-finals,1966,2,5.0,1766.177547,120.0,1151.052136
England,Argentina,1,0,Quarter-finals,1966,2,4.0,1827.048678,1.0,1876.118331
England,France,2,0,Group stage,1966,2,4.0,1827.048678,3.0,1869.428449
Hungary,Bulgaria,3,1,Group stage,1966,2,41.0,1504.135797,87.0,1271.683325
Uruguay,Mexico,0,0,Group stage,1966,1,16.0,1673.068603,14.0,1687.481759
Argentina,Switzerland,2,0,Group stage,1966,2,1.0,1876.118331,19.0,1650.064179
Portugal,Brazil,3,1,Group stage,1966,2,5.0,1766.177547,6.0,1765.856297
Korea DPR,Italy,1,0,Group stage,1966,2,120.0,1151.052136,12.0,1704.733836
Portugal,Bulgaria,3,0,Group stage,1966,2,5.0,1766.177547,87.0,1271.683325
England,Mexico,2,0,Group stage,1966,2,4.0,1827.048678,14.0,1687.481759
Spain,Switzerland,2,1,Group stage,1966,2,2.0,1873.013187,19.0,1650.064179
Uruguay,France,2,1,Group stage,1966,2,16.0,1673.068603,3.0,1869.428449
Hungary,Brazil,3,1,Group stage,1966,2,41.0,1504.135797,6.0,1765.856297
Korea DPR,Chile,1,1,Group stage,1966,1,120.0,1151.052136,55.0,1452.939983
Argentina,Spain,2,1,Group stage,1966,2,1.0,1876.118331,2.0,1873.013187
France,Mexico,1,1,Group stage,1966,1,3.0,1869.428449,14.0,1687.481759
Italy,Chile,2,0,Group stage,1966,2,12.0,1704.733836,55.0,1452.939983
Portugal,Hungary,3,1,Group stage,1966,2,5.0,1766.177547,41.0,1504.135797
Brazil,Bulgaria,2,0,Group stage,1966,2,6.0,1765.856297,87.0,1271.683325
England,Uruguay,0,0,Group stage,1966,1,4.0,1827.048678,16.0,1673.068603
Brazil,Chile,4,2,Semi-finals,1962,2,6.0,1765.856297,55.0,1452.939983
Brazil,England,3,1,Quarter-finals,1962,2,6.0,1765.856297,4.0,1827.048678
England,Bulgaria,0,0,Group stage,1962,1,4.0,1827.048678,87.0,1271.683325
Italy,Switzerland,3,0,Group stage,1962,2,12.0,1704.733836,19.0,1650.064179
Hungary,Argentina,0,0,Group stage,1962,1,41.0,1504.135797,1.0,1876.118331
Brazil,Spain,2,1,Group stage,1962,2,6.0,1765.856297,2.0,1873.013187
Spain,Mexico,1,0,Group stage,1962,2,2.0,1873.013187,14.0,1687.481759
Hungary,Bulgaria,6,1,Group stage,1962,2,41.0,1504.135797,87.0,1271.683325
Chile,Italy,2,0,Group stage,1962,2,55.0,1452.939983,12.0,1704.733836
England,Argentina,3,1,Group stage,1962,2,4.0,1827.048678,1.0,1876.118331
Hungary,England,2,1,Group stage,1962,2,41.0,1504.135797,4.0,1827.048678
Chile,Switzerland,3,1,Group stage,1962,2,55.0,1452.939983,19.0,1650.064179
Uruguay,Colombia,2,1,Group stage,1962,2,16.0,1673.068603,13.0,1698.351858
Brazil,Mexico,2,0,Group stage,1962,2,6.0,1765.856297,14.0,1687.481759
Argentina,Bulgaria,1,0,Group stage,1962,2,1.0,1876.118331,87.0,1271.683325
Brazil,Sweden,5,2,Final,1958,2,6.0,1765.856297,38.0,1509.785392
Brazil,France,5,2,Semi-finals,1958,2,6.0,1765.856297,3.0,1869.428449
France,Northern Ireland,4,0,Quarter-finals,1958,2,3.0,1869.428449,70.0,1366.564198
Brazil,Wales,1,0,Quarter-finals,1958,2,6.0,1765.856297,37.0,1516.946629
Wales,Hungary,2,1,Group stage play-off,1958,2,37.0,1516.946629,41.0,1504.135797
Sweden,Wales,0,0,Group stage,1958,1,38.0,1509.785392,37.0,1516.946629
England,Austria,2,2,Group stage,1958,1,4.0,1827.048678,24.0,1597.404087
Hungary,Mexico,4,0,Group stage,1958,2,41.0,1504.135797,14.0,1687.481759
France,Scotland,2,1,Group stage,1958,2,3.0,1869.428449,42.0,1503.34027
Sweden,Hungary,2,1,Group stage,1958,2,38.0,1509.785392,41.0,1504.135797
Argentina,Northern Ireland,3,1,Group stage,1958,2,1.0,1876.118331,70.0,1366.564198
Paraguay,Scotland,3,2,Group stage,1958,2,40.0,1505.349689,42.0,1503.34027
Brazil,England,0,0,Group stage,1958,1,6.0,1765.856297,4.0,1827.048678
Mexico,Wales,1,1,Group stage,1958,1,14.0,1687.481759,37.0,1516.946629
Sweden,Mexico,3,0,Group stage,1958,2,38.0,1509.785392,14.0,1687.481759
Hungary,Wales,1,1,Group stage,1958,1,41.0,1504.135797,37.0,1516.946629
Brazil,Austria,3,0,Group stage,1958,2,6.0,1765.856297,24.0,1597.404087
France,Paraguay,7,3,Group stage,1958,2,3.0,1869.428449,40.0,1505.349689
Germany,Hungary,3,2,Final,1954,2,10.0,1735.771984,41.0,1504.135797
Austria,Uruguay,3,1,Third-place match,1954,2,24.0,1597.404087,16.0,1673.068603
Hungary,Uruguay,4,2,Semi-finals,1954,2,41.0,1504.135797,16.0,1673.068603
Germany,Austria,6,1,Semi-finals,1954,2,10.0,1735.771984,24.0,1597.404087
Hungary,Brazil,4,2,Quarter-finals,1954,2,41.0,1504.135797,6.0,1765.856297
Uruguay,England,4,2,Quarter-finals,1954,2,16.0,1673.068603,4.0,1827.048678
Switzerland,Austria,5,7,Quarter-finals,1954,0,19.0,1650.064179,24.0,1597.404087
Germany,Türkiye,7,2,Group stage play-off,1954,2,10.0,1735.771984,22.0,1605.730921
Switzerland,Italy,4,1,Group stage play-off,1954,2,19.0,1650.064179,12.0,1704.733836
Hungary,Germany,8,3,Group stage,1954,2,41.0,1504.135797,10.0,1735.771984
Türkiye,Korea Republic,7,0,Group stage,1954,2,22.0,1605.730921,25.0,1591.630886
Italy,Belgium,4,1,Group stage,1954,2,12.0,1704.733836,9.0,1742.235945
Switzerland,England,0,2,Group stage,1954,0,19.0,1650.064179,4.0,1827.048678
Uruguay,Scotland,7,0,Group stage,1954,2,16.0,1673.068603,42.0,1503.34027
France,Mexico,3,2,Group stage,1954,2,3.0,1869.428449,14.0,1687.481759
Switzerland,Italy,2,1,Group stage,1954,2,19.0,1650.064179,12.0,1704.733836
Hungary,Korea Republic,9,0,Group stage,1954,2,41.0,1504.135797,25.0,1591.630886
Germany,Türkiye,4,1,Group stage,1954,2,10.0,1735.771984,22.0,1605.730921
England,Belgium,4,4,Group stage,1954,1,4.0,1827.048678,9.0,1742.235945
Brazil,Mexico,5,0,Group stage,1954,2,6.0,1765.856297,14.0,1687.481759
Austria,Scotland,1,0,Group stage,1954,2,24.0,1597.404087,42.0,1503.34027
Sweden,Spain,3,1,Final stage,1950,2,38.0,1509.785392,2.0,1873.013187
Uruguay,Brazil,2,1,Final stage,1950,2,16.0,1673.068603,6.0,1765.856297
Brazil,Spain,6,1,Final stage,1950,2,6.0,1765.856297,2.0,1873.013187
Uruguay,Sweden,3,2,Final stage,1950,2,16.0,1673.068603,38.0,1509.785392
Brazil,Sweden,7,1,Final stage,1950,2,6.0,1765.856297,38.0,1509.785392
Uruguay,Spain,2,2,Final stage,1950,1,16.0,1673.068603,2.0,1873.013187
Italy,Paraguay,2,0,Group stage,1950,2,12.0,1704.733836,40.0,1505.349689
Uruguay,Bolivia,8,0,Group stage,1950,2,16.0,1673.068603,77.0,1325.995377
Spain,England,1,0,Group stage,1950,2,2.0,1873.013187,4.0,1827.048678
Switzerland,Mexico,2,1,Group stage,1950,2,19.0,1650.064179,14.0,1687.481759
Spain,Chile,2,0,Group stage,1950,2,2.0,1873.013187,55.0,1452.939983
Sweden,Paraguay,2,2,Group stage,1950,1,38.0,1509.785392,40.0,1505.349689
Brazil,Switzerland,2,2,Group stage,1950,1,6.0,1765.856297,19.0,1650.064179
Sweden,Italy,3,2,Group stage,1950,2,38.0,1509.785392,12.0,1704.733836
England,Chile,2,0,Group stage,1950,2,4.0,1827.048678,55.0,1452.939983
Brazil,Mexico,4,0,Group stage,1950,2,6.0,1765.856297,14.0,1687.481759
Brazil,Sweden,4,2,Third-place match,1938,2,6.0,1765.856297,38.0,1509.785392
Italy,Hungary,4,2,Final,1938,2,12.0,1704.733836,41.0,1504.135797
Hungary,Sweden,5,1,Semi-finals,1938,2,41.0,1504.135797,38.0,1509.785392
Italy,Brazil,2,1,Semi-finals,1938,2,12.0,1704.733836,6.0,1765.856297
Sweden,Cuba,8,0,Quarter-finals,1938,2,38.0,1509.785392,164.0,981.423455
Hungary,Switzerland,2,0,Quarter-finals,1938,2,41.0,1504.135797,19.0,1650.064179
Italy,France,3,1,Quarter-finals,1938,2,12.0,1704.733836,3.0,1869.428449
Switzerland,Germany,4,2,Round of 16,1938,2,19.0,1650.064179,10.0,1735.771984
Cuba,Romania,2,1,Round of 16,1938,2,164.0,981.423455,53.0,1455.894657
Italy,Norway,2,1,Round of 16,1938,2,12.0,1704.733836,31.0,1557.437664
Cuba,Romania,3,3,Round of 16,1938,1,164.0,981.423455,53.0,1455.894657
France,Belgium,3,1,Round of 16,1938,2,3.0,1869.428449,9.0,1742.235945
Brazil,Poland,6,5,Round of 16,1938,2,6.0,1765.856297,36.0,1526.183359
Switzerland,Germany,1,1,Round of 16,1938,1,19.0,1650.064179,10.0,1735.771984
Germany,Austria,3,2,Third-place match,1934,2,10.0,1735.771984,24.0,1597.404087
Italy,Austria,1,0,Semi-finals,1934,2,12.0,1704.733836,24.0,1597.404087
Italy,Spain,1,0,Quarter-finals,1934,2,12.0,1704.733836,2.0,1873.013187
Austria,Hungary,2,1,Quarter-finals,1934,2,24.0,1597.404087,41.0,1504.135797
Italy,Spain,1,1,Quarter-finals,1934,1,12.0,1704.733836,2.0,1873.013187
Germany,Sweden,2,1,Quarter-finals,1934,2,10.0,1735.771984,38.0,1509.785392
Hungary,Egypt,4,2,Round of 16,1934,2,41.0,1504.135797,29.0,1562.367246
Austria,France,3,2,Round of 16,1934,2,24.0,1597.404087,3.0,1869.428449
Switzerland,Netherlands,3,2,Round of 16,1934,2,19.0,1650.064179,8.0,1751.097835
Sweden,Argentina,3,2,Round of 16,1934,2,38.0,1509.785392,1.0,1876.118331
Spain,Brazil,3,1,Round of 16,1934,2,2.0,1873.013187,6.0,1765.856297
Germany,Belgium,5,2,Round of 16,1934,2,10.0,1735.771984,9.0,1742.235945
Uruguay,Argentina,4,2,Final,1930,2,16.0,1673.068603,1.0,1876.118331
Argentina,Chile,3,1,Group stage,1930,2,1.0,1876.118331,55.0,1452.939983
Uruguay,Romania,4,0,Group stage,1930,2,16.0,1673.068603,53.0,1455.894657
Brazil,Bolivia,4,0,Group stage,1930,2,6.0,1765.856297,77.0,1325.995377
Paraguay,Belgium,1,0,Group stage,1930,2,40.0,1505.349689,9.0,1742.235945
Chile,France,1,0,Group stage,1930,2,55.0,1452.939983,3.0,1869.428449
Argentina,Mexico,6,3,Group stage,1930,2,1.0,1876.118331,14.0,1687.481759
Uruguay,Peru,1,0,Group stage,1930,2,16.0,1673.068603,51.0,1459.390555
Chile,Mexico,3,0,Group stage,1930,2,55.0,1452.939983,14.0,1687.481759
Argentina,France,1,0,Group stage,1930,2,1.0,1876.118331,3.0,1869.428449
Romania,Peru,3,1,Group stage,1930,2,53.0,1455.894657,51.0,1459.390555
France,Mexico,4,1,Group stage,1930,2,3.0,1869.428449,14.0,1687.481759
